Country;PostCode
FR;75013
FR;6000
FR;69110
FR;80480
FR;26000
FR;94000
FR;59420
FR;41000
FR;75008
FR;25300
FR;21000
FR;21000
FR;21240
FR;31700
FR;72100
FR;26260
FR;59650
FR;28210
FR;93800
FR;93120
FR;97200
FR;33700
FR;93100
FR;2200
FR;75017
FR;59200
FR;59000
FR;21800
FR;46000
FR;69200
FR;25000
FR;25000
FR;25770
FR;25870
FR;25500
FR;80000
FR;51100
FR;31500
FR;21000
FR;71100
FR;71880
FR;52100
FR;21300
FR;31200
FR;21121
FR;21000
FR;71290
FR;54700
FR;21000
FR;21000
FR;75011
FR;92500
FR;89100
FR;51300
FR;10000
FR;93380
FR;6210
FR;70500
FR;6370
FR;21000
FR;28000
FR;8000
FR;21200
FR;92210
FR;21200
FR;21470
FR;21300
FR;21800
FR;72700
FR;75007
FR;20260
FR;6160
FR;21600
FR;35700
FR;95130
FR;21800
FR;26100
FR;6530
FR;67160
FR;69860
FR;69140
FR;69009
FR;33000
FR;59125
FR;56000
FR;6400
FR;69630
FR;93200
FR;93100
FR;75009
FR;78110
FR;75002
FR;12100
FR;93270
FR;56270
FR;76100
FR;62470
FR;92600
FR;92130
FR;87000
FR;8130
FR;92270
FR;62300
FR;75018
FR;91360
FR;69003
FR;92250
FR;75006
FR;94000
FR;44240
FR;75001
FR;92000
FR;92370
FR;93500
FR;59250
FR;38400
FR;67300
FR;92700
FR;67200
FR;1190
FR;31180
FR;92000
FR;75016
FR;93400
FR;35000
FR;93190
FR;87100
FR;92230
FR;95400
FR;6200
FR;93170
FR;75019
FR;75014
FR;83300
FR;91170
FR;59880
FR;74700
FR;31037
FR;95370
FR;60400
FR;93200
FR;31140
FR;92400
FR;69100
FR;67000
FR;77330
FR;92200
FR;75005
FR;45000
FR;95120
FR;78410
FR;75012
FR;94170
FR;67411
FR;69480
FR;77200
FR;10300
FR;59750
FR;75010
FR;84140
FR;57000
FR;78140
FR;92100
FR;93300
FR;75020
MC;98000
FR;94370
FR;33320
FR;54320
FR;83470
FR;69007
FR;93160
FR;75004
FR;75116
FR;95100
FR;38610
FR;94200
FR;78180
FR;78530
FR;10430
FR;60200
FR;62680
FR;59760
FR;94300
FR;38490
FR;78480
FR;31300
FR;95800
FR;92200
FR;94500
FR;33140
FR;2200
FR;93000
FR;78700
FR;74420
FR;85000
FR;59120
FR;84270
FR;93490
FR;22270
FR;92200
FR;68500
FR;93500
FR;31100
FR;42100
FR;6600
FR;95180
FR;94400
FR;33300
FR;57950
FR;95880
FR;22300
FR;94140
FR;95150
FR;57045
FR;69780
FR;93160
FR;92110
FR;60200
FR;93330
FR;67100
FR;74120
FR;69330
FR;59650
FR;92150
FR;78230
FR;20000
FR;77185
FR;77270
FR;78120
FR;24000
FR;67400
FR;78990
FR;69370
FR;38500
FR;68490
FR;89300
FR;6210
FR;3200
FR;95160
FR;92300
FR;67380
FR;33100
FR;13005
FR;69510
FR;68200
FR;91000
FR;94510
FR;92130
FR;93110
FR;37000
FR;92380
FR;83400
FR;78190
FR;33170
FR;69160
FR;63300
FR;73420
FR;95470
FR;92140
FR;5000
FR;78140
FR;75003
FR;95800
FR;33260
FR;93420
FR;92800
FR;77124
FR;59230
FR;95160
FR;44350
FR;62400
FR;78280
FR;95110
FR;52310
FR;13014
FR;35170
FR;91700
FR;3400
FR;6580
FR;13001
FR;44700
FR;59300
FR;6320
FR;44800
FR;67220
FR;69008
FR;95800
FR;35510
FR;92000
FR;78000
MC;98000
FR;78150
FR;78220
FR;94170
FR;92500
FR;60340
FR;92320
FR;78510
FR;77100
FR;78100
FR;91700
FR;77170
FR;78560
MC;98003
FR;80230
FR;19100
FR;19000
FR;92410
FR;93200
FR;93190
FR;93800
FR;93350
FR;78390
FR;24100
FR;87500
FR;87240
FR;19100
FR;86000
FR;86000
FR;19100
FR;78000
FR;95000
FR;78500
FR;6240
FR;64200
FR;91349
FR;19000
FR;19100
FR;60000
FR;65000
FR;6190
FR;92100
FR;11000
FR;75015
FR;75013
FR;75018
FR;29510
FR;91551
FR;95000
FR;95100
FR;93150
FR;93130
FR;92360
FR;78200
FR;67300
FR;6500
FR;93400
FR;92170
FR;93150
NC;98800
FR;98845
NC;98800
FR;78180
FR;78140
FR;92210
FR;22370
FR;93000
FR;69002
FR;93000
FR;26110
FR;93000
FR;42300
FR;56100
FR;92270
FR;33130
FR;95270
FR;59370
FR;95140
FR;33440
FR;5290
FR;29710
FR;31000
FR;91170
FR;91170
FR;91200
FR;91830
FR;92000
FR;37100
FR;93000
FR;95000
FR;78130
FR;59390
FR;6130
FR;13007
FR;69500
FR;64000
FR;85290
FR;63000
FR;92000
FR;93000
FR;94000
FR;92000
FR;93000
FR;80120
FR;71100
FR;93400
FR;69120
FR;95660
FR;13013
FR;13100
FR;69800
FR;1000
FR;69590
FR;13015
FR;74370
FR;38320
FR;83130
FR;13160
FR;85200
FR;94320
FR;44600
FR;85100
FR;59190
FR;68170
FR;13700
FR;93260
FR;74500
FR;77600
FR;69630
FR;40390
FR;66430
FR;93110
FR;44400
FR;31860
FR;94656
FR;49220
FR;68100
FR;92220
FR;78150
FR;13500
FR;71850
FR;35270
FR;95300
FR;27100
FR;1960
FR;38000
FR;59140
FR;95170
FR;62800
FR;64320
FR;67450
FR;76300
FR;73100
FR;78955
FR;59770
FR;69730
FR;78340
FR;83000
