Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,Country,PostCode
2021-06-08,18.59,15.75,17.17,18.88,9.41,22.82,13.41,DE,60386
2021-06-09,20.3,15.67,17.99,20.68,10.66,25.17,14.51,DE,60386
2021-06-10,20.9,15.26,18.08,21.19,11.33,25.58,14.26,DE,60386
2021-06-11,22.05,15.56,18.8,22.27,11.57,27.14,15.57,DE,60386
2021-06-12,20.07,14.84,17.46,20.35,10.64,24.73,14.08,DE,60386
2021-06-13,16.69,9.51,13.09,17.67,12.65,22.37,9.73,DE,60386
2021-06-14,19.77,11.21,15.49,20.31,16.56,26.87,10.3,DE,60386
2021-06-15,22.5,13.65,18.07,22.8,13.2,28.67,15.47,DE,60386
2021-06-16,23.72,15.71,19.71,24.14,13.66,30.1,16.44,DE,60386
2021-06-17,26.09,16.44,21.27,26.54,16.05,33.33,17.28,DE,60386
2021-06-18,27.19,16.58,21.88,27.87,15.11,33.87,18.76,DE,60386
2021-06-19,26.54,18.93,22.73,27.48,9.84,31.27,21.43,DE,60386
2021-06-20,25.06,16.63,20.85,25.88,8.58,29.32,20.74,DE,60386
2021-06-21,21.88,16.23,19.05,22.68,9.91,26.95,17.04,DE,60386
2021-06-22,17.92,14.3,16.11,18.76,7.06,21.08,14.02,DE,60386
2021-06-23,19.55,14.77,17.16,20.57,9.75,24.66,14.9,DE,60386
2021-06-24,17.91,15.12,16.51,18.11,5.23,20.61,15.38,DE,60386
2021-06-25,18.17,13.89,16.03,18.31,7.75,22.23,14.48,DE,60386
2021-06-26,20.15,12.94,16.55,20.92,10.71,24.94,14.23,DE,60386
2021-06-27,21.94,14.61,18.28,22.38,12.16,27.99,15.83,DE,60386
2021-06-28,23.83,17.4,20.62,24.58,10.55,29.14,18.59,DE,60386
2021-06-29,19.0,15.74,17.37,19.52,9.66,24.84,15.18,DE,60386
2021-06-30,17.08,13.44,15.26,17.6,7.09,20.91,13.83,DE,60386
2021-07-01,15.23,12.2,13.72,15.37,4.83,17.78,12.95,DE,60386
2021-07-02,18.33,11.58,14.96,18.82,11.18,23.55,12.37,DE,60386
2021-07-03,21.22,13.15,17.19,21.76,12.98,26.58,13.6,DE,60386
2021-07-04,19.79,15.97,17.88,19.89,7.84,23.84,16.01,DE,60386
2021-07-05,18.51,15.15,16.83,18.89,8.93,22.83,13.9,DE,60386
2021-07-06,18.88,15.6,17.24,18.87,8.75,24.23,15.48,DE,60386
2021-07-07,19.63,13.63,16.63,20.17,10.75,24.8,14.05,DE,60386
