Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,Country,PostCode
2021-06-08,18.42,15.66,17.04,18.26,6.38,21.87,15.5,ES,20016
2021-06-09,17.64,15.51,16.57,18.15,3.71,19.57,15.86,ES,20016
2021-06-10,18.21,15.29,16.75,18.48,4.17,20.5,16.33,ES,20016
2021-06-11,18.12,16.15,17.13,18.62,3.6,20.19,16.58,ES,20016
2021-06-12,19.03,16.96,18.0,19.73,5.2,21.43,16.23,ES,20016
2021-06-13,22.65,18.83,20.74,21.24,7.59,25.85,18.26,ES,20016
2021-06-14,20.96,19.03,19.99,20.64,3.89,22.94,19.05,ES,20016
2021-06-15,20.94,19.04,19.99,20.7,4.38,22.95,18.58,ES,20016
2021-06-16,22.54,19.4,20.97,21.48,7.97,27.37,19.4,ES,20016
2021-06-17,19.8,18.22,19.01,20.19,3.63,21.58,17.95,ES,20016
2021-06-18,20.37,17.33,18.85,20.73,5.56,23.29,17.73,ES,20016
2021-06-19,19.69,17.21,18.45,20.37,3.89,21.88,17.99,ES,20016
2021-06-20,19.9,15.53,17.71,19.85,3.9,21.76,17.86,ES,20016
2021-06-21,18.38,13.94,16.16,19.23,4.11,20.83,16.73,ES,20016
2021-06-22,17.06,14.68,15.87,18.58,2.61,18.56,15.95,ES,20016
2021-06-23,16.26,14.12,15.19,17.73,1.17,16.85,15.68,ES,20016
2021-06-24,17.11,14.12,15.61,17.94,1.95,18.19,16.24,ES,20016
2021-06-25,17.55,13.21,15.37,18.33,4.57,20.07,15.5,ES,20016
2021-06-26,18.4,14.39,16.39,18.98,6.54,22.44,15.9,ES,20016
2021-06-27,16.23,13.33,14.78,17.49,1.88,17.04,15.16,ES,20016
2021-06-28,16.94,13.57,15.26,17.65,4.67,19.12,14.45,ES,20016
2021-06-29,16.62,14.32,15.48,17.4,2.73,18.44,15.72,ES,20016
2021-06-30,17.48,13.96,15.72,18.27,3.87,19.62,15.75,ES,20016
2021-07-01,18.23,15.78,17.01,18.89,4.45,20.8,16.36,ES,20016
2021-07-02,19.6,16.58,18.09,19.91,6.74,23.56,16.82,ES,20016
2021-07-03,19.21,16.92,18.06,19.72,3.96,21.53,17.57,ES,20016
2021-07-04,19.47,16.3,17.88,20.08,4.2,21.62,17.43,ES,20016
