Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,Country,PostCode
2021-06-08,17.0,12.73,14.86,17.62,13.07,23.12,10.05,FR,80480
2021-06-09,17.83,13.01,15.42,18.18,13.61,24.13,10.52,FR,80480
2021-06-10,17.26,13.05,15.15,18.01,12.55,23.28,10.73,FR,80480
2021-06-11,17.48,14.77,16.12,18.21,12.29,23.27,10.99,FR,80480
2021-06-12,16.57,13.57,15.07,17.15,9.55,21.15,11.6,FR,80480
2021-06-13,16.93,11.72,14.33,17.3,13.41,22.83,9.44,FR,80480
2021-06-14,19.05,13.21,16.13,19.21,15.05,26.02,10.97,FR,80480
2021-06-15,19.66,15.53,17.59,20.14,12.41,25.32,12.9,FR,80480
2021-06-16,22.37,17.65,20.01,22.57,13.54,27.99,14.45,FR,80480
2021-06-17,21.87,19.46,20.66,21.72,7.1,25.69,18.58,FR,80480
2021-06-18,20.87,18.19,19.52,20.9,10.53,25.38,14.85,FR,80480
2021-06-19,18.08,15.7,16.89,18.78,10.27,22.91,12.65,FR,80480
2021-06-20,18.65,15.37,17.01,19.32,7.59,22.79,15.2,FR,80480
2021-06-21,17.77,15.26,16.51,18.25,8.57,22.39,13.82,FR,80480
2021-06-22,12.64,10.82,11.73,12.72,2.6,13.9,11.3,FR,80480
2021-06-23,12.95,10.23,11.59,13.14,6.34,16.03,9.69,FR,80480
2021-06-24,14.07,10.05,12.06,14.6,10.45,19.39,8.94,FR,80480
2021-06-25,15.5,13.12,14.3,15.83,10.17,20.6,10.43,FR,80480
2021-06-26,17.37,14.44,15.9,17.86,7.83,21.48,13.65,FR,80480
2021-06-27,17.98,15.9,16.94,17.79,6.8,21.35,14.55,FR,80480
2021-06-28,18.64,15.84,17.24,18.64,7.12,22.04,14.92,FR,80480
2021-06-29,15.7,14.04,14.87,15.8,4.55,17.94,13.4,FR,80480
2021-06-30,14.45,12.34,13.4,14.62,4.77,17.05,12.28,FR,80480
2021-07-01,15.44,12.36,13.9,15.33,7.47,18.73,11.26,FR,80480
2021-07-02,18.67,14.55,16.62,19.25,11.73,23.71,11.98,FR,80480
2021-07-03,18.97,16.21,17.58,19.02,6.84,22.34,15.51,FR,80480
2021-07-04,16.56,15.01,15.79,16.34,6.41,19.94,13.54,FR,80480
2021-07-05,17.03,14.57,15.8,17.4,7.34,20.27,12.93,FR,80480
2021-07-06,16.8,12.72,14.76,16.87,5.75,19.69,13.94,FR,80480
2021-07-07,16.5,12.65,14.57,16.3,8.36,20.29,11.93,FR,80480
2021-07-08,16.45,13.03,14.74,16.55,9.23,20.86,11.62,FR,80480
2021-07-09,17.0,13.26,15.13,17.35,10.37,20.93,10.56,FR,80480
2021-07-10,15.73,13.4,14.56,15.72,7.33,18.36,11.03,FR,80480
2021-07-11,16.19,12.84,14.52,16.67,11.13,20.83,9.69,FR,80480
2021-07-12,17.58,15.12,16.35,17.49,7.18,21.61,14.43,FR,80480
2021-07-13,16.46,14.69,15.58,16.38,7.03,19.95,12.92,FR,80480
2021-07-14,16.0,14.12,15.06,15.98,5.65,18.59,12.94,FR,80480
2021-07-15,17.44,14.05,15.74,17.76,7.96,21.9,13.94,FR,80480
2021-07-16,16.18,12.3,14.24,16.74,8.76,20.94,12.18,FR,80480
2021-07-17,17.82,14.33,16.07,18.15,12.62,24.15,11.55,FR,80480
2021-07-18,19.65,16.13,17.89,19.8,13.83,26.37,12.55,FR,80480
2021-07-19,20.34,16.81,18.58,20.64,13.48,26.35,12.87,FR,80480
2021-07-20,20.59,16.55,18.57,20.98,11.38,26.07,14.69,FR,80480
2021-06-08,18.09,14.75,16.42,18.33,7.95,22.16,14.22,FR,26000
2021-06-09,19.08,15.49,17.29,19.47,9.77,23.71,13.94,FR,26000
2021-06-10,20.19,16.19,18.19,20.45,11.03,25.37,14.33,FR,26000
2021-06-11,20.61,16.6,18.61,20.9,12.0,26.21,14.22,FR,26000
2021-06-12,21.15,16.97,19.06,21.45,12.29,26.8,14.51,FR,26000
2021-06-13,21.56,17.1,19.33,21.8,10.52,26.87,16.35,FR,26000
2021-06-14,21.28,15.47,18.37,21.48,13.76,27.79,14.02,FR,26000
2021-06-15,22.48,16.32,19.4,22.27,13.05,28.07,15.02,FR,26000
2021-06-16,23.87,17.87,20.87,23.39,11.75,29.76,18.0,FR,26000
2021-06-17,23.71,16.86,20.28,23.37,11.59,29.55,17.97,FR,26000
2021-06-18,23.69,16.77,20.23,23.4,8.62,28.43,19.8,FR,26000
2021-06-19,23.15,17.04,20.09,23.01,10.31,29.32,19.01,FR,26000
2021-06-20,22.4,17.62,20.01,22.0,9.92,28.22,18.3,FR,26000
2021-06-21,21.32,16.07,18.69,21.27,9.76,26.42,16.66,FR,26000
2021-06-22,18.82,14.28,16.55,18.94,7.55,22.93,15.38,FR,26000
2021-06-23,18.23,14.82,16.52,18.26,8.04,21.94,13.9,FR,26000
2021-06-24,16.68,13.33,15.0,16.31,8.26,20.2,11.94,FR,26000
2021-06-25,16.36,11.67,14.01,16.96,11.46,21.65,10.19,FR,26000
2021-06-26,19.37,12.85,16.11,19.79,13.78,25.35,11.58,FR,26000
2021-06-27,20.65,14.6,17.62,20.19,11.27,26.67,15.4,FR,26000
2021-06-28,20.23,15.01,17.62,20.03,9.69,24.15,14.47,FR,26000
2021-06-29,19.07,13.22,16.15,19.67,11.19,24.42,13.24,FR,26000
2021-06-30,17.35,11.62,14.48,18.08,11.59,23.23,11.64,FR,26000
2021-07-01,18.81,13.63,16.23,19.62,12.14,24.02,11.88,FR,26000
2021-07-02,20.51,13.97,17.24,21.03,12.47,25.98,13.5,FR,26000
2021-07-03,20.38,14.21,17.3,19.91,6.91,24.33,17.42,FR,26000
2021-07-04,19.23,15.19,17.2,19.15,8.17,24.05,15.87,FR,26000
2021-07-05,22.51,14.98,18.75,22.83,12.71,28.72,16.01,FR,26000
2021-07-06,20.09,16.44,18.27,19.92,9.37,24.03,14.66,FR,26000
